,PC1,PC2,PC3,PC4,PC5
GTUSD5Y Govt,0.553437613565608,-0.4564254707170949,0.07417449460747032,-0.12026620665094402,-0.6822146153953332
GTEUR5Y Govt,0.5974927987782703,-0.34952094800989336,0.061992844273025045,0.042772602610076586,0.7177498547790001
GTJPY5Y Govt,0.37772881981195844,0.5591216877415112,-0.27810151738898053,-0.6832671508578989,0.02257041348811414
GTCNY5Y Govt,0.09564426339064318,0.3037488197529861,0.94424756465726,-0.08316503826159423,-0.008303157767426017
GTAUD5Y Govt,0.4299793912071144,0.5144224814087108,-0.1473469180995905,0.7140981171892482,-0.1372588740729971
