pair,ccy_A,ccy_B,tenor,regime_state,n_obs,sample_warning,cointegrated,adf_stat,adf_pval,adf_lags_used,hedge_ratio_beta,alpha,r_squared,white_stat,white_pval,heteroskedastic,ljung_box_stat,ljung_box_pval,autocorrelated,note
USD-EUR 5Y,USD,EUR,5Y,0,1453,False,False,-1.6505126068451557,0.45677309877344463,23,0.7205980178444029,1.4685565724569103,0.6688316590962347,275.48029803946343,1.514304957721153e-60,True,13860.7777804796,0.0,True,
USD-EUR 5Y,USD,EUR,5Y,1,1534,False,False,-1.406680203970168,0.5790693876976933,23,0.6094875997372314,1.7567646320677341,0.5314523473399186,164.19375057509922,2.217073449543997e-36,True,14714.406629853464,0.0,True,
USD-EUR 5Y,USD,EUR,5Y,2,1487,False,False,-2.0732388254368734,0.2554106397682717,23,0.7227272185694914,1.5217764995746037,0.6667028463166469,242.3090093953337,2.4169471390870175e-53,True,13884.379582827472,0.0,True,
USD-EUR 5Y,USD,EUR,5Y,3,364,False,False,-1.3953484493343133,0.5845040875608358,16,0.558332682329251,1.3202115412553026,0.4701454117944346,99.64837880173849,2.299479159730348e-22,True,3016.6155274489456,0.0,True,
USD-EUR 10Y,USD,EUR,10Y,0,1453,False,False,-1.766328228942911,0.3973022254733911,23,0.6787257421025573,1.7452162568464855,0.7672891986972162,224.55179810618037,1.7345890102160358e-49,True,13569.238958422944,0.0,True,
USD-EUR 10Y,USD,EUR,10Y,1,1536,False,False,-1.6255761322163345,0.4698071780967681,23,0.6001046983028262,1.9432702741809817,0.6496723358257601,133.23557241207305,1.1702079766004608e-29,True,14258.850942526225,0.0,True,
USD-EUR 10Y,USD,EUR,10Y,2,1488,False,False,-2.2776585176860578,0.17927480836716841,23,0.6712392923537531,1.7796800064884302,0.7758741383217023,152.0901439414495,9.419869086313942e-34,True,13521.277704661827,0.0,True,
USD-EUR 10Y,USD,EUR,10Y,3,364,False,False,-1.912113563391468,0.3263841419262547,16,0.6029412394288525,1.5684150528084428,0.6802605628825436,72.15655481815253,2.1448810125323648e-16,True,2808.334790369574,0.0,True,
JPY-AUD 5Y,JPY,AUD,5Y,0,1453,False,False,-2.648495415173055,0.08338263519223593,23,0.2403185020156437,-0.4580958476939124,0.7164863347996596,95.77756909954631,1.5928142227066225e-21,True,12827.198221306879,0.0,True,
JPY-AUD 5Y,JPY,AUD,5Y,1,1533,False,True,-3.517862587253023,0.007540022142898674,23,0.2472106750276838,-0.5411971075648753,0.810995140799337,383.38777667830715,5.602760778091721e-84,True,12793.057583977034,0.0,True,
JPY-AUD 5Y,JPY,AUD,5Y,2,1485,False,False,-0.8835746762371843,0.7933333784139683,23,0.22279708334529058,-0.40195322069094674,0.6462712175338743,111.25301352611112,6.945684710668258e-25,True,12931.106278096448,0.0,True,
JPY-AUD 5Y,JPY,AUD,5Y,3,364,False,False,-2.5008584423092723,0.11526559616928544,16,0.22842857515556766,-0.3570048067581361,0.6927469681159252,58.861481637574066,1.6534522752153423e-13,True,2429.915357989545,0.0,True,
JPY-AUD 10Y,JPY,AUD,10Y,0,1453,False,False,-2.541347772975811,0.1057352702845532,23,0.37231165255747545,-0.6477883166517769,0.8276173081839262,46.58060355659644,7.676273780865996e-11,True,12675.242968000011,0.0,True,
JPY-AUD 10Y,JPY,AUD,10Y,1,1533,False,False,-2.7412811640927366,0.06716315677019712,23,0.3836178899334376,-0.7491520775456947,0.8733612998449993,81.03045230555313,2.5378201936990182e-18,True,12999.259131291781,0.0,True,
JPY-AUD 10Y,JPY,AUD,10Y,2,1485,False,False,-1.624605327389799,0.4703157387647512,23,0.3813912737705419,-0.6590075288303442,0.8199536170064382,78.84104408104791,7.583763901743142e-18,True,12647.921698090307,0.0,True,
JPY-AUD 10Y,JPY,AUD,10Y,3,364,False,False,-2.2262929279220613,0.1968413938818186,16,0.34409552200562604,-0.5102186869472436,0.7875691840173938,68.66444359823693,1.2294348543546669e-15,True,2665.661565985036,0.0,True,
