,pc1_var,pc1_cosine_to_fullsample
2007-01-05,0.5491566276162727,0.5523300472380651
2007-01-08,0.5482432975687352,0.5511403575801695
2007-01-09,0.5468644225096744,0.5551404219082207
2007-01-10,0.5485556989591086,0.5534196576146164
2007-01-11,0.5520839053383612,0.5568653361722046
2007-01-12,0.5751936472406478,0.5561321104070179
2007-01-15,0.5780539588493983,0.5580396613643581
2007-01-16,0.5792845440057619,0.5580709482831664
2007-01-17,0.5807888082878158,0.5576110670296323
2007-01-18,0.5841854937365125,0.5552379150332029
2007-01-19,0.5849183869579478,0.5495555147208224
2007-01-22,0.5854768633960333,0.5472436374049474
2007-01-23,0.5863417875075729,0.547682380978299
2007-01-24,0.5846689040294502,0.5449640000988508
2007-01-25,0.5817917426841617,0.5448140149928925
2007-01-26,0.5829859331809155,0.5477842990103043
2007-01-29,0.5825754627927676,0.5475227000400097
2007-01-30,0.5834972690301259,0.5485081598530407
2007-01-31,0.5836411085782699,0.5464365834931849
2007-02-01,0.5838814854855505,0.5470794059443699
2007-02-02,0.5683091955234928,0.5468879623833915
2007-02-05,0.5688146396682837,0.5451538849204921
2007-02-06,0.5686231717830079,0.5456492163734356
2007-02-07,0.5671637135435812,0.5454707447188603
2007-02-08,0.5662551224630432,0.5451054226851684
2007-02-09,0.5662572672205147,0.5440118956380035
2007-02-12,0.5754509018589776,0.5408235926874926
2007-02-13,0.582578149383458,0.5429109450207502
2007-02-14,0.5919144711896017,0.543970192319047
2007-02-15,0.5908538295731921,0.5432434930516179
2007-02-16,0.5906058214012178,0.5409810326676275
2007-02-27,0.5918345200421503,0.5402789682003478
2007-02-28,0.5886195525887272,0.5458619084583761
2007-03-01,0.5881243814842851,0.5458258905702689
2007-03-02,0.5881243553742748,0.5409697921026573
2007-03-05,0.5880637965782433,0.5419305779115872
2007-03-06,0.5899215224539169,0.5435349894519144
2007-03-07,0.5901152983828452,0.5445568399072839
2007-03-08,0.5911117691360566,0.5396723408509438
2007-03-09,0.5896234325738934,0.5361147577485584
2007-03-12,0.5893924176385348,0.5389202946390445
2007-03-13,0.5888628366732128,0.5384293335963596
2007-03-14,0.5844468602719908,0.5420853172238699
2007-03-15,0.5859313330286386,0.5420167179236747
2007-03-16,0.5853416052062493,0.5431699222529482
2007-03-19,0.5837995295506313,0.5431586818552918
2007-03-20,0.5823743565628472,0.5445654727053841
2007-03-21,0.5834697716606718,0.5447913700770295
2007-03-22,0.5831223465097487,0.5443598073321169
2007-03-23,0.5826943177378463,0.5464789237722708
2007-03-26,0.5846768643153666,0.5495810013334872
2007-03-27,0.5863542131868421,0.5460026563989642
2007-03-28,0.5776940328378868,0.5494409234533161
2007-03-29,0.5795231159756928,0.5503058800506139
2007-03-30,0.5799886279386556,0.5483051643896595
2007-04-02,0.5800777351113572,0.5483229852862473
2007-04-03,0.5797816503676769,0.5486903953568861
2007-04-04,0.5803969584209959,0.550039287511175
2007-04-05,0.581082377964089,0.5447178011566028
2007-04-06,0.5808322572958724,0.5437889979869861
2007-04-09,0.5782761488975904,0.546430761053664
2007-04-10,0.5785413975771003,0.546193341615012
2007-04-11,0.5773878584610928,0.5450530722414251
2007-04-12,0.5629074148292941,0.5476281907313502
2007-04-13,0.5650045188567572,0.5474346654043231
2007-04-16,0.564162201807767,0.5473394919244106
2007-04-17,0.5663602968489464,0.5420692542779095
2007-04-18,0.566538598389456,0.5431715430375061
2007-04-19,0.5662173173944776,0.5431330990274478
2007-04-20,0.5673141069609244,0.5412096350176231
2007-04-23,0.5468808025266244,0.5428115999690313
2007-04-24,0.5465005676547424,0.544021149368054
2007-04-25,0.5474356674623856,0.548384415643385
2007-04-26,0.5470513007366676,0.548987768446235
2007-04-27,0.5490584600365995,0.5464901004402605
2007-04-30,0.5439439368170919,0.5407789817958356
2007-05-09,0.543999237488515,0.5363871912390813
2007-05-10,0.5441587669617853,0.5367913561263965
2007-05-11,0.5395803500475912,0.5328949033544768
2007-05-14,0.5385978457091185,0.5339144108390788
2007-05-15,0.5378408745235537,0.5353020870259045
2007-05-16,0.5356653765663472,0.5330238624305759
2007-05-17,0.5359879281357315,0.5311184825522014
2007-05-18,0.5332762860269966,0.5282387838614284
2007-05-21,0.5335415912614724,0.5290369699069545
2007-05-22,0.5343566307128614,0.529302216594431
2007-05-23,0.519660486119819,0.5232582588003656
2007-05-24,0.520960704023347,0.5245025203133512
2007-05-25,0.5202492696481829,0.522943147957078
2007-05-28,0.5209609217472608,0.5256584734894689
2007-05-29,0.5197772703401932,0.5283827188045522
2007-05-30,0.5209059751823539,0.5295047351905549
2007-05-31,0.5209475819982963,0.5297530812969685
2007-06-01,0.5200625676306228,0.5296966980977116
2007-06-04,0.5216066035924735,0.5326839933084098
2007-06-05,0.5197169440651441,0.527057851639567
2007-06-06,0.5213322486345989,0.5359979845977616
2007-06-07,0.5167507880476664,0.5344100084046656
2007-06-08,0.5128435080478589,0.5436896865920047
2007-06-11,0.5081795071625553,0.554169574828587
2007-06-12,0.5091972945869633,0.5542756967759508
2007-06-13,0.5061716646257247,0.5580700676384162
2007-06-14,0.510188259306479,0.5525188896539508
2007-06-15,0.5091677267599829,0.5480216741578056
2007-06-18,0.5089154059970646,0.5545717640903249
2007-06-19,0.5095656507992707,0.5571421971384938
2007-06-20,0.5075911768864138,0.5509278763670276
2007-06-21,0.4989363416810918,0.5417164052548595
2007-06-22,0.4985000117056983,0.5431992516054845
2007-06-25,0.4985332517583299,0.5457961439198727
2007-06-26,0.48763784551173933,0.5465635860338662
