date,move_chg,dxy_chg,curve_signal,macro_surprise
2005-01-06,9.900000000000006,0.15000000000009095,-0.11118840418396143,0.0816945398467137
2005-01-07,-0.7999999999999972,6.4500000000000455,0.825629339535905,0.1024206711588269
2005-01-10,-0.020000000000010232,2.0699999999999363,-0.5941148988556464,-0.05737768218609255
2005-01-11,-13.36999999999999,-2.5299999999999727,-0.5686478391908858,0.014036970655805787
2005-01-12,-1.1600000000000108,-4.0200000000000955,-0.7042810421520493,0.23172742854927708
2005-01-13,-0.8999999999999915,-9.409999999999968,-0.4603346336893058,0.016980712024722032
2005-01-14,-1.1800000000000068,1.5399999999999636,-0.22082227180985137,-0.15452975053361961
2005-01-17,0.8400000000000034,5.650000000000091,-0.06073395363448601,0.2519359207572549
2005-01-20,-0.5700000000000074,0.67999999999995,-0.6192996257815285,0.3492705768143225
2005-01-21,-1.4953000000000003,3.880000000000109,0.708148496391642,0.3002879309061467
2005-01-24,1.8353000000000037,-5.900000000000091,0.8822601187963921,0.3912285754144833
2005-01-25,0.6500000000000057,-0.8400000000000318,-1.314396191915686,0.4056865595977931
2005-01-26,0.36999999999999034,8.06000000000006,0.1629266573935128,0.339025387986209
2005-01-27,0.8700000000000045,-7.039999999999964,-0.6891093773511201,0.4812761582065687
2005-01-28,2.019999999999996,0.029999999999972715,-0.3416297736815894,0.5119468733512001
2005-01-31,-1.5899999999999892,1.259999999999991,-1.3607660474087475,0.709958916627133
2005-02-01,0.6700000000000017,0.92999999999995,-0.7194980146044428,0.7629472755364655
2005-02-02,-3.3300000000000125,-0.5499999999999545,-0.4616703408673408,0.8376341047136371
2005-02-03,7.940000000000012,0.049999999999954525,-1.1728497341477249,0.8877523287710765
2005-02-04,-0.12000000000000455,4.1299999999999955,0.1528793833536023,0.8756818038891254
2005-02-07,-8.269999999999996,3.7999999999999545,-0.8952883699781629,1.626870915226106
2005-02-08,-3.2700000000000102,7.0,-2.1792041798380715,1.773458866483349
2005-02-09,0.6000000000000085,1.400000000000091,-1.5612308674947042,1.8058197861541057
2005-02-10,4.259999999999991,-2.380000000000109,1.1994901754390637,1.7765528655546632
2005-02-11,3.3000000000000114,-3.619999999999891,0.8840278736635081,1.5444261194217808
2005-02-14,1.5499999999999972,-0.9600000000000364,0.015117705771644077,1.5055856112484904
2005-02-15,2.7099999999999937,-6.5,0.422079387983655,1.5176667437683729
2005-02-16,-0.539999999999992,-3.5299999999999727,0.6394790395510442,1.6654466061801756
2005-02-17,-0.020000000000010232,3.160000000000082,0.3044006858016136,1.565163743557328
2005-02-18,-9.86,-3.050000000000068,1.3189089829058485,1.566912189500468
2005-02-21,4.219999999999999,0.2400000000000091,1.4786066984176776,1.532730015477347
2005-02-24,-2.299999999999997,5.540000000000077,-0.4466737089906324,1.22524530850475
2005-02-25,1.25,1.1599999999999682,-0.015113491684358923,1.1962199618603124
2005-02-28,-2.239999999999995,-2.580000000000041,-1.2616716702701711,1.1262647906561476
2005-03-01,9.349999999999994,-1.6099999999999,1.4348287328368499,1.3223301835535228
2005-03-02,-0.8199999999999932,1.6099999999999,1.4573118944529029,1.2042722236816625
2005-03-03,12.179999999999993,2.6400000000001,1.2668728059626995,1.3897628386859593
2005-03-04,-1.9699999999999989,3.009999999999991,0.1007262114548124,1.3688084028110041
2005-03-07,-16.439999999999998,-7.7000000000000455,-1.3599910665507262,1.4194356069554326
2005-03-08,-6.700000000000003,1.5399999999999636,-0.7835694631261384,1.364661427470663
2005-03-09,5.63000000000001,-7.860000000000014,1.3391464631142473,1.363704661303749
2005-03-10,10.169999999999987,-2.669999999999959,2.1659830040826824,1.5542357183379565
2005-03-11,-0.9599999999999937,-0.38999999999998636,-1.164134868699409,1.294658917862728
2005-03-14,2.5600000000000023,-1.2200000000000273,0.7217487083677411,1.1961785033083836
2005-03-15,-0.5,5.740000000000009,-0.5816692905373297,1.2016767441544003
2005-03-16,-1.2000000000000028,1.7000000000000455,-0.8170638657045672,1.2216168251307749
2005-03-17,-1.230000000000004,-4.960000000000036,-2.9095546745959213,1.1523387045529632
2005-03-18,1.3500000000000085,1.169999999999959,-0.5210322119104341,1.0979478381489192
2005-03-21,-2.0200000000000102,2.1100000000000136,0.4287521374119876,1.0715704061469715
2005-03-24,-1.7000000000000028,5.9099999999998545,-0.6866836987250694,0.6838196201498111
2005-03-25,-0.6299999999999955,2.1200000000001182,-1.1972531458044786,0.6650916186379612
2005-03-30,0.6800000000000068,-1.3600000000001273,-0.909077923807263,0.38955246208011646
2005-03-31,1.4099999999999966,0.25,-0.22571679999295524,0.15198750668920752
2005-04-01,-3.299999999999997,-4.629999999999882,-0.32652072552488176,0.20483680207093583
2005-04-04,-12.540000000000006,3.2799999999999727,0.7544230869003663,-0.19809181948207302
2005-04-05,-0.04999999999999716,5.0,-0.009917666869958028,-0.2122215577297082
2005-04-06,-1.4699999999999989,-1.7000000000000455,0.6686722581279922,-0.2985553835931659
2005-04-07,7.510000000000005,1.5299999999999727,0.974461873363419,-0.5021874625725486
2005-04-08,-1.8700000000000045,0.7799999999999727,-0.32211639822358645,-0.9003724133409422
2005-04-11,2.1200000000000045,-3.949999999999818,0.1357209127100225,-0.857806451643851
2005-04-12,-3.200000000000003,-2.040000000000191,-0.35785005224484023,-0.8151249317998148
2005-04-13,-2.260000000000005,1.6000000000001364,-1.6665519067847774,-0.9008612577452635
2005-04-14,-0.3499999999999943,-1.0,0.20532947089466258,-1.0274391322253498
2005-04-15,-1.1700000000000017,7.059999999999945,1.2363413118155218,-1.026027159693842
