type,trial,seed,noise_level,agreement,ari,flip_rate,avg_duration_baseline,avg_duration_alt,baseline_avg_duration_state_0,baseline_avg_duration_state_1,baseline_avg_duration_state_2,baseline_avg_duration_state_3,alt_avg_duration_state_0,alt_avg_duration_state_1,alt_avg_duration_state_2,alt_avg_duration_state_3
seed_variation,0,42,0.0,0.9995873736331752,0.9992351936040327,0.0004126263668248401,19.388,19.388,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.675675675675677,34.93181818181818,28.07547169811321,4.632911392405063
seed_variation,1,43,0.0,0.9995873736331752,0.9992351936040327,0.0004126263668248401,19.388,19.388,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.675675675675677,34.93181818181818,28.07547169811321,4.632911392405063
seed_variation,2,44,0.0,0.6738188570249639,0.514946029304745,0.3261811429750361,19.388,23.876847290640395,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,18.144736842105264,39.84615384615385,31.682926829268293,18.883333333333333
seed_variation,3,45,0.0,0.6707241592737776,0.5113291555892752,0.3292758407262224,19.388,23.995049504950494,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,18.30666666666667,40.15384615384615,32.35,18.62295081967213
seed_variation,4,46,0.0,0.9995873736331752,0.9992351936040327,0.0004126263668248401,19.388,19.388,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.675675675675677,34.93181818181818,28.07547169811321,4.632911392405063
noise_injection,0,1,0.05,0.9919537858469156,0.9805679435471691,0.008046214153084381,19.388,19.158102766798418,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.68918918918919,35.74418604651163,27.333333333333332,4.597560975609756
noise_injection,1,1,0.05,0.990715906746441,0.9739657502861666,0.009284093253558903,19.388,19.783673469387754,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.972972972972972,37.048780487804876,28.653846153846153,4.615384615384615
noise_injection,2,1,0.05,0.9872085826284299,0.9657808582350881,0.012791417371570043,19.388,19.310756972111555,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.38157894736842,36.04761904761905,27.574074074074073,4.69620253164557
noise_injection,3,1,0.05,0.9865896430781927,0.9630691499731869,0.013410356921807304,19.388,19.234126984126984,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.233766233766232,35.25581395348837,27.9811320754717,4.6455696202531644
noise_injection,4,1,0.05,0.9888590880957293,0.9702960271024645,0.011140911904270683,19.388,19.703252032520325,19.675675675675677,34.93181818181818,28.11320754716981,4.6075949367088604,19.626666666666665,36.595238095238095,28.384615384615383,4.701298701298701
