column,nobs,adf_p,kpss_p,label
curve_signal,0,,,Insufficient data / constant
dxy_chg,0,,,Insufficient data / constant
macro_surprise,0,,,Insufficient data / constant
move_chg,0,,,Insufficient data / constant
