pair_id,regime,valid,mean_reverting,a,b,pval_b,kappa,mu,sigma,half_life,n_obs
USD_EUR_5Y,0,True,True,0.0004465366790158745,-0.5664892756096853,2.747942043598105e-38,0.5664892756096853,0.0007882526611563624,0.025270138940974036,1.2235839413092933,1452
USD_EUR_5Y,1,True,True,0.0009772441349639028,-0.5283552926960365,1.0225172810329036e-70,0.5283552926960365,0.0018495965659344924,0.022940594892771945,1.3118959725434485,1533
USD_EUR_5Y,2,True,True,0.0018122117293820385,-0.5320535028186802,9.635413876149258e-40,0.5320535028186802,0.0034060704793435525,0.025713390908604684,1.302777214862477,1486
USD_EUR_5Y,3,True,True,-0.003635504165353425,-0.5811235327881138,1.2440434418131236e-10,0.5811235327881138,-0.00625599198833165,0.043142555999909675,1.1927707990663612,363
