regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime_most_likely
1.9581597392939335e-227,9.232345894288248e-147,2.4978120510539927e-83,1.0,3
3.6839845715196736e-06,0.0006910521716386203,0.00024264060438891573,0.9990626232382777,3
5.2899426479262925e-06,0.00015933127933049615,0.00031233510947686205,0.9995230436673137,3
1.5811428275019606e-05,0.0005208057626808507,0.00024449017287888925,0.999218892637669,3
0.0018236434540856072,0.008072033253204935,2.167898744856335e-05,0.9900826443051782,3
0.04720923636955684,0.04172754742918403,1.1312559790290113e-06,0.9110620849449672,3
0.0015960524672826001,0.001036034609409044,7.296503470882771e-05,0.9972949478881146,3
4.520720895092575e-05,0.0016024500372166072,2.8010232650666314e-06,0.9983495417322966,3
1.3954088396238289e-05,0.00033927344840496134,7.462075396046798e-06,0.9996393103890863,3
7.316835333488798e-06,0.00042559975006088263,3.713131327117216e-06,0.9995633702846998,3
3.894142670825436e-05,0.0002307570142028642,2.957469204591222e-06,0.9997273440903537,3
3.8490976001911146e-05,0.0001875395140178721,3.3474829117290943e-06,0.9997706220287144,3
0.00016649438584191023,4.062700613944282e-05,5.9555140209582675e-06,0.999786923093263,3
0.00018262679351428577,6.491576383174784e-05,3.357061610721182e-06,0.9997491003825945,3
0.00012966575927867975,0.000801597880556303,6.839080829120091e-07,0.9990680524517387,3
0.0003293711066662719,0.00020104516289447637,2.3355374240629677e-06,0.9994672481931073,3
0.002245257749438741,4.001529673738249e-05,7.944654659392376e-06,0.9977067822996833,3
0.02858360757230539,0.0003126586866771326,3.076839609856432e-06,0.971100656899806,3
0.39646531782252115,0.00025028795177030913,2.2599185696185844e-06,0.6032821343072959,3
0.6120638598216015,0.00027786811339639505,8.093406558433914e-07,0.38765746272350204,3
0.7738216924391206,0.00022378980986794545,2.2548090678403896e-06,0.22595226294207138,3
0.7677017836549205,0.0005157274157382444,8.179181828970158e-07,0.23178167101178956,3
0.5761775015607117,0.0003578456105369944,1.1778325085789567e-06,0.4234634749944763,3
0.29976920515426214,0.00047819077591897976,1.0610146321429766e-06,0.699751543055251,3
0.22268286819851846,9.506507954310254e-05,3.621509953050707e-06,0.7772184452105843,3
0.17561321700325047,0.0001716347726052578,3.5950559134627156e-06,0.8242115531673295,3
0.09439661117675707,0.00010173475027083358,4.054431142257503e-06,0.9054975996405469,3
0.06077193610674135,0.00011796534080058053,3.3368604977236206e-06,0.9391067616930123,3
0.029698146715606482,9.644596754484511e-05,4.012289599269839e-06,0.970201395025444,3
0.0010299654352286353,0.0001100138510157158,4.6471175324301475e-06,0.9988553735961057,3
2.3257265930060478e-05,9.312995126105678e-05,2.0605508933560757e-05,0.999863007275247,3
4.509128272248481e-05,4.076934056693581e-05,8.83051584877632e-06,0.9999053088592049,3
1.8046547087836164e-05,3.178649955607796e-05,1.7125890691878582e-05,0.9999330410618676,3
1.7420663881139128e-05,6.869861577063855e-05,9.611313409573128e-06,0.9999042694057375,3
2.4660580409638172e-05,7.290252541050098e-05,6.623741014063797e-06,0.9998958131545426,3
2.6823563124610463e-05,4.2975344082499595e-05,9.831003457712496e-06,0.9999203700882793,3
4.214831935411192e-05,7.413993443367485e-05,4.81167681561299e-06,0.9998789000700763,3
0.00010795650125565049,3.389301137351463e-05,5.816351398378636e-06,0.9998523341352846,3
0.00011799223221330902,3.7914401183837456e-05,5.4705607892027455e-06,0.9998386228058831,3
9.213988690943669e-05,3.637294695218102e-05,5.699261140489605e-06,0.9998657879037413,3
0.0001439725851553515,7.496096664022278e-05,5.26995041350263e-06,0.9997757964982359,3
0.0006858393917870997,5.68089127543863e-05,5.053463589607164e-06,0.9992522982307839,3
0.005038770976401934,0.00044203575181929125,4.516662642619583e-06,0.9945146766093914,3
0.0009021089532597114,0.0011816740613744992,3.431288844512221e-06,0.9979127856976993,3
9.893175773524734e-05,0.010467479364905647,2.5440945005692647e-07,0.989433334468755,3
4.380249554061542e-05,0.0004969526958572345,9.796806558035445e-06,0.9994494480018129,3
6.828738234936206e-05,0.00012084437689484787,2.4298807542355407e-05,0.9997865694334671,3
3.257075527077022e-06,0.00026588917326875053,0.0005875981163427169,0.9991432556356727,3
2.8549867404401687e-06,0.00032072877225584764,0.00048159537885910167,0.9991948208603575,3
8.881190240728383e-06,0.0002627389237204414,3.576724159197406e-05,0.9996926126436098,3
3.200460384101716e-05,3.1379974546050255e-05,1.367814877764151e-05,0.9999229372742617,3
8.249232465516742e-05,2.7161531080374874e-05,6.737750805147868e-06,0.9998836083942689,3
3.237594842695844e-05,5.759013205184399e-05,8.808509292250165e-06,0.999901225412033,3
5.731176672912716e-05,5.480295471621377e-05,6.723185289689046e-06,0.9998811620939823,3
4.670960054787009e-05,4.3245295538488806e-05,7.572422722244845e-06,0.9999024726797737,3
2.5861435325163675e-05,0.00011028395104520445,4.09338579602495e-06,0.9998597612293548,3
1.5214942495805917e-05,7.743793141309042e-05,6.4591112614774214e-06,0.9999008880156091,3
2.1312212561802448e-05,5.666140828009315e-05,1.029511412523038e-05,0.9999117312650949,3
1.83192066343976e-05,7.888347603471811e-05,1.2145100838567942e-05,0.9998906522176868,3
1.4524345534325155e-05,6.426341677679177e-05,6.941180109563849e-05,0.9998518004354455,3
2.9272951108976395e-06,0.0004796959159026266,0.000454049637279427,0.9990633271527053,3
3.197816898705248e-06,0.00023424664035298604,0.0006891459922319283,0.999073409551369,3
4.3483689613354675e-06,0.00016338708003487798,0.000628555826069676,0.999203708723342,3
6.226673179750424e-06,0.00010130439461578022,0.00027851873360213683,0.9996139501978615,3
0.00015204876572574248,0.0001994427689511415,7.224121362823904e-06,0.9996412843445864,3
0.0006088566368414473,9.394991761456935e-05,3.828499150657222e-06,0.999293364945209,3
0.00018224649219086457,0.00010803774931713958,3.866248075102601e-06,0.9997058495106854,3
0.00025135897182840776,0.00011207115929336476,2.306122715891877e-06,0.9996342637449984,3
0.0047504210175924565,7.85374115063941e-05,3.5398566974526376e-06,0.9951675017155817,3
0.015458177275247096,6.731762175719367e-05,5.475879829168009e-06,0.9844690292243403,3
0.07751368160809101,0.00020932906525454595,3.505507834051149e-06,0.9222734838191042,3
0.24913038068628385,0.0004955279492102666,2.5504859113907955e-07,0.7503738363175321,3
0.9994083739568085,0.00038115927402565324,4.055152828394027e-10,0.0002104663633214396,0
0.9999738920512152,4.9724878738226034e-06,9.300895485463946e-11,2.1135366121481202e-05,0
0.9999535586737223,4.467722946331686e-06,1.0849062829140975e-12,4.19736028991246e-05,0
0.9999966013950597,1.9906000435241557e-06,1.0098190593775266e-13,1.4080030019633667e-06,0
0.9999977368959805,1.27192007272586e-06,1.3840585296686336e-14,9.911849889596999e-07,0
0.9999986988413464,9.60236918646943e-07,1.5531208460386777e-14,3.409203435124871e-07,0
0.9999970741561867,2.707911923414994e-06,4.898653541753246e-15,2.1793120919666897e-07,0
0.9999969269385399,1.3040187207094177e-06,1.394119757054221e-13,1.7690423001562221e-06,0
0.9999916278489165,5.419529706178957e-06,7.185349785582203e-14,2.952621461897202e-06,0
0.9999901688871747,9.776290763094106e-06,2.1080096887028166e-15,5.482261465918768e-08,0
0.9999982306632965,1.3686041813250742e-06,5.754584400745125e-14,4.0073099730429614e-07,0
0.9999968572241686,1.790422854112035e-06,1.993547122034974e-14,1.3523541356244718e-06,0
0.9999983898391522,1.5038458573302102e-06,5.285304071240363e-15,1.0631482323925908e-07,0
0.9999990260044083,9.534859943750359e-07,5.838580930514145e-15,2.0509428085730083e-08,0
0.9999965400625853,3.442856408579716e-06,1.9835774116465103e-15,1.7079721401551247e-08,0
0.9999955685914718,4.431194641322405e-06,9.213237480790865e-14,2.1529555597678757e-10,0
0.9998938563751337,0.00010614288676731106,7.609712585810578e-17,7.370053326873839e-10,0
0.9999988880014642,1.1116363781913622e-06,8.840982222230564e-14,3.615352703192772e-10,0
0.9999979341467644,2.0657181495483696e-06,4.464470852644922e-16,1.358377060927032e-10,0
0.9999984188228832,1.581085964986614e-06,1.1746812728240007e-15,8.996414267308991e-11,0
0.9999977524337529,2.2474193666015874e-06,4.105339233780244e-16,1.4620811126615762e-10,0
0.9999989972171105,1.0026028879355713e-06,1.2515026334139112e-15,1.7863781392598427e-10,0
0.9999979237348906,2.0761357735648918e-06,4.544112091620167e-16,1.301464511547125e-10,0
0.9999986057164904,1.394283689813949e-06,9.933860979052525e-16,1.2958433390188296e-12,0
0.9999945546954232,5.445303978977669e-06,1.6858463577684414e-16,1.1246463914713168e-14,0
0.9999971620495014,2.8379492037531743e-06,3.6740126070096566e-16,5.502352477224033e-13,0
0.9999983955907875,1.6044069480467002e-06,4.742617716068314e-16,6.340211465401239e-13,0
0.9999971998880123,2.8001124920191015e-06,1.8449206962900832e-16,1.294650207628841e-12,0
0.9999977260148105,2.273978025247658e-06,3.685886355004596e-16,6.585068016088693e-12,0
0.9999983386310464,1.6613620277697328e-06,1.6604385663231693e-15,5.5158302400450365e-12,0
0.9999935955298038,6.404470927367742e-06,6.030600496524198e-16,3.0003052436398443e-13,0
0.9999850986624319,1.4901339060866367e-05,1.2170904646016206e-15,1.2772325821156596e-15,0
0.9999937568294881,6.243169783119354e-06,3.825374887733078e-15,2.31829598889048e-16,0
0.9999880713532792,1.1928646045145713e-05,1.013128699643381e-14,6.109443391401661e-16,0
0.9999371879103589,6.281208790325172e-05,7.264950747940835e-16,1.467151278166456e-15,0
0.9999883620279987,1.1637973136339418e-05,5.203895174768532e-15,1.0500611094965611e-14,0
0.9999953702570418,4.629741214057781e-06,1.6818268889024746e-14,1.6404771414174932e-14,0
0.9999587991489913,4.120085037369754e-05,3.5963104082953383e-16,1.2747731163067158e-16,0
0.9999942228444966,5.777157088904796e-06,1.747207492012803e-15,4.1981830700213084e-14,0
0.9999976250029258,2.374996438440757e-06,2.940961559503089e-15,5.426941457495006e-13,0
0.9999937451261834,6.254856389230684e-06,2.5850628170712726e-16,1.7520072765738565e-11,0
0.9999977713148207,2.2286847036444947e-06,4.974290246272124e-15,1.7470617956944034e-12,0
0.9999781668066735,2.1618296548498e-05,1.6983822117728057e-15,2.148969984346178e-07,0
0.9999989877401853,1.0112187622203468e-06,1.070321409624605e-14,1.0397307060561498e-09,0
0.9999991303415443,8.691789232169028e-07,5.525094724485286e-16,4.779253433653808e-10,0
0.9999983705724477,1.6286807222699044e-06,1.7810297119601605e-15,7.451022842992609e-10,0
0.999994027256991,5.972135818038192e-06,4.874409753983323e-16,6.066527983258641e-10,0
0.9999990267028995,9.699367690005954e-07,4.672782816442804e-15,3.3612696262108487e-09,0
0.9999989721041682,1.023514913274296e-06,1.342572292539634e-15,4.381136178584749e-09,0
0.999998152003061,1.8413362836146506e-06,1.1610803503461747e-15,6.659503562469067e-09,0
0.9999984276922615,1.3612856190561435e-06,8.136714440567871e-15,2.110211363535236e-07,0
0.9999980422345354,1.4245701511182228e-06,8.815968004049727e-15,5.331942490639476e-07,0
0.9999977288924452,1.2175804989171967e-06,1.1429237485548123e-13,1.0535278639930044e-06,0
0.999923769914683,3.0752934412531636e-06,6.488262888526541e-12,7.315478390515181e-05,0
0.9991003951456917,1.7037724486785823e-05,8.098277874498068e-11,0.000882567048999765,0
0.9986411931798734,2.2515398402962385e-05,3.3404888978811186e-10,0.0013362910864465772,0
0.9995191408800786,4.5248173493005e-06,9.989631581398712e-10,0.0004763333021148361,0
