entry_time,exit_time,direction,entry_spread,exit_spread,pnl,holding_days
2005-07-22,2005-08-05,-1,0.02391304081193013,0.008339750545087732,0.014573290266842398,14
2005-08-31,2005-09-02,1,-0.036924525896668836,0.013234956921801544,0.04915948281847038,2
2005-09-22,2005-09-23,1,-0.0058688262115631495,0.004773271694042958,0.009642097905606106,1
2005-11-21,2005-11-22,1,-0.003301007549372237,-0.01879762028170351,-0.016496612732331273,1
2005-11-29,2005-11-30,-1,0.0034206018467686228,0.008791424662336844,-0.006370822815568221,1
2005-12-02,2005-12-14,-1,0.02132523210985582,-0.010807942766619671,0.03113317487647549,12
2006-05-02,2006-05-10,-1,-0.01029169741564484,0.020326371270106947,-0.03161806868575179,8
2007-01-12,2007-01-18,-1,0.006824592503072324,-0.01244916848631128,0.018273760989383603,6
2007-02-28,2007-03-02,1,0.011298676744259772,-0.013929041822854593,-0.026227718567114366,2
2009-09-24,2009-09-25,1,0.0008483938290080317,0.006523837007255118,0.004675443178247086,1
2009-12-01,2009-12-08,-1,0.016029939412051775,0.0037409739470195547,0.011288965465032219,7
2010-04-07,2010-04-08,-1,-0.03817103165927671,0.018158699051465277,-0.05732973071074199,1
2010-04-08,2010-04-15,1,0.018158699051465277,-0.019203388890656203,-0.03836208794212148,7
2010-05-19,2010-05-27,1,0.037035350630937325,0.05758475635502025,0.019549405724082924,8
2010-05-28,2010-06-03,-1,-0.022290488839356914,0.02561665554018666,-0.04890714437954358,6
2010-11-10,2010-11-17,-1,0.02163516189140846,0.004600944157823417,0.016034217733585043,7
2011-01-13,2011-01-21,1,-0.0978653883861833,-0.014871299178569108,0.0819940892076142,8
2012-01-26,2012-02-06,1,-0.027905557886327592,0.006674585618409501,0.03358014350473709,11
2012-03-14,2012-03-22,-1,0.059743602795673145,0.0255026496449674,0.03324095315070574,8
2012-12-14,2013-01-01,-1,0.0262530645253993,0.0020272848084768036,0.023225779716922496,18
2013-01-10,2013-01-18,1,-0.030515455095277366,-0.008958538831897706,0.02055691626337966,8
2013-07-05,2013-07-15,-1,0.16967408476699852,-0.034962006169332094,0.20363609093633062,10
2013-09-19,2013-09-20,1,-0.013302312759742807,-0.024973656713387027,-0.01267134395364422,1
2015-01-16,2015-01-19,1,-0.002393154398604651,-0.0017315996117518231,-0.0003384452131471724,3
2015-07-03,2015-07-10,1,-0.01598719646554661,-0.023510709750447223,-0.008523513284900613,7
2015-10-26,2015-11-17,-1,0.042343782169943694,0.011853504423445557,0.029490277746498136,22
2016-06-06,2016-06-15,1,-0.04121649637322561,-0.04036295528314815,-0.0001464589099225413,9
2016-11-10,2016-11-29,-1,0.11793211511531115,0.007994431331760588,0.10893768378355057,19
2016-12-15,2016-12-20,-1,0.12222225554054106,0.033449693335907416,0.08777256220463364,5
2017-01-06,2017-01-16,1,-0.013682097248330555,0.012502003054203459,0.025184100302534013,10
2017-10-31,2017-11-01,-1,0.009435554936468193,0.00649073139453904,0.0019448235419291535,1
2017-12-14,2017-12-19,1,-0.0032424350345789943,0.026613900841984478,0.02885633587656347,5
2019-10-03,2019-10-08,1,-0.07649468588328756,-0.020631777665343742,0.05486290821794382,5
2020-01-06,2020-01-07,1,0.0010285112020428366,0.005884021269557449,0.0038555100675146123,1
2020-01-30,2020-02-04,1,-0.01709992693238882,0.015190769664780723,0.03129069659716954,5
2020-02-24,2020-03-03,1,-0.0695828889535246,-0.12229410118380035,-0.05371121223027575,8
2021-02-26,2021-03-03,-1,0.03837768282203052,0.0329520604476683,0.004425622374362227,5
2021-03-05,2021-03-10,-1,0.05312015831038852,0.00558218550118228,0.04653797280920624,5
2021-06-17,2021-06-22,-1,0.0442766817228627,-0.01641736291736723,0.059694044640229926,5
2022-11-11,2022-11-17,1,-0.1061847275335761,0.028638488822721797,0.1338232163562979,6
2023-02-07,2023-02-09,-1,0.018352734587115282,0.0375868029931683,-0.02023406840605302,2
2024-02-14,2024-02-22,-1,0.01778810505207895,-0.00205127543299799,0.01883938048507694,8
2024-04-11,2024-04-16,-1,0.03477697343695585,0.018376756356798474,0.015400217080157375,5
2025-08-04,2025-08-06,1,-0.03631726999197138,-0.005675547759050659,0.02964172223292072,2
