entry_time,exit_time,direction,entry_spread,exit_spread,pnl,holding_days
2006-05-24,2006-05-25,1,0.09145714374711611,0.13097954119315314,0.03852239744603703,1
2006-06-12,2006-07-04,1,0.05910201762000966,0.1669122937325982,0.10681027611258853,22
2007-01-22,2007-02-05,1,-0.1289705353318804,-0.03193671032072487,0.09603382501115554,14
2007-05-31,2007-06-06,-1,0.08682609957145626,0.13647931479914854,-0.05065321522769228,6
2007-06-12,2007-07-02,-1,0.1738428834990433,0.10126403809286555,0.07157884540617776,20
2008-04-03,2008-04-10,-1,-0.03579591072053612,-0.02836610557513697,-0.00842980514539915,7
2008-09-16,2008-09-18,-1,0.13891543901523162,0.2077223452242234,-0.06980690620899177,2
2008-09-22,2008-10-03,-1,0.08416838138178018,0.12192436683253605,-0.03875598545075587,11
2009-05-07,2009-05-12,1,-0.07602266418721626,-0.04402938972245196,0.030993274464764298,5
2009-05-19,2009-05-29,1,-0.10539277835429883,-0.10585323440154548,-0.001460456047246649,10
2009-06-04,2009-06-09,1,-0.14802365903750414,-0.1379089177557924,0.009114741281711747,5
2009-06-22,2009-08-03,1,-0.22088382000900075,-0.15655136632372801,0.06333245368527274,42
2009-10-26,2009-11-18,-1,-0.04521308992681783,-0.10268755178061889,0.05647446185380106,23
2010-11-11,2010-12-13,-1,0.0013034547406814423,0.19295443921114552,-0.19265098447046408,32
2010-12-15,2010-12-30,-1,0.14185409658400966,-0.010845546520255989,0.15169964310426565,15
2011-05-09,2011-06-06,1,-0.05703733398400174,-0.04133573471916324,0.014701599264838494,28
2011-11-30,2011-12-14,-1,0.06658777021336137,0.01508805815821912,0.050499712055142254,14
2012-02-16,2012-03-16,1,-0.04351508686331479,0.008202618595875955,0.05071770545919074,29
2012-12-10,2012-12-19,1,-0.06091224767515113,-0.029286477339027617,0.030625770336123515,9
2013-04-15,2013-05-15,-1,0.09382461746276363,0.22690525747841653,-0.1340806400156529,30
2013-05-20,2013-05-22,-1,0.2064444461317588,0.20646099539693077,-0.0010165492651719723,2
2013-10-03,2013-10-09,1,-0.0592103592609127,-0.056577616960464455,0.001632742300448243,6
2014-07-10,2014-07-17,1,-0.02769713565796783,-0.02052001664254094,0.0061771190154268915,7
2014-07-24,2014-08-11,1,-0.03552195083399666,-0.017491806700461326,0.017030144133535333,18
2014-12-03,2014-12-16,1,-0.07317714137337458,-0.08207870026940979,-0.009901558896035209,13
2014-12-24,2015-01-29,1,-0.08762218686784538,-0.03649944524830662,0.050122741619538766,36
2015-02-05,2015-03-20,-1,0.022201903140263823,-0.011010783878406219,0.03221268701867004,43
2015-06-12,2015-06-16,-1,0.014331336807199557,-0.0020075501062170042,0.01533888691341656,4
2015-08-05,2015-09-16,1,-0.01429629362753257,-0.014632371165609559,-0.0013360775380769898,42
2016-01-06,2016-01-15,1,-0.0516175423993193,-0.06516029374679215,-0.014542751347472849,9
2016-01-18,2016-01-19,1,-0.0522431554445712,-0.040316578247696466,0.010926577196874732,1
2016-05-20,2016-06-17,-1,-0.17272226843254476,-0.1600641234530981,-0.013658144979446674,28
2016-07-04,2016-07-05,1,-0.2515706900614297,-0.2506251760292283,-5.4485967798611167e-05,1
2016-11-16,2016-12-30,-1,0.10107067201323516,0.017719529760952063,0.0823511422522831,44
2017-02-27,2017-03-14,1,-0.017696172824002987,0.003944706324363945,0.02064087914836693,15
2017-06-08,2017-06-23,-1,0.052813070690949364,0.05280932322117212,-0.0009962525302227567,15
2018-07-24,2018-07-26,-1,0.01627512088542904,0.010687578258593879,0.004587542626835161,2
2018-08-03,2018-09-07,-1,0.02523642337483977,0.03387480747438602,-0.009638384099546253,35
2018-12-10,2019-02-08,1,-0.038583354818926247,-0.04263366725156376,-0.0050503124326375165,60
2019-04-17,2019-05-03,-1,0.0016972158850389885,-0.020490940869303524,0.02118815675434251,16
2019-06-07,2019-06-18,1,-0.07587658441948911,-0.06449917526486865,0.01037740915462046,11
2019-10-29,2019-11-05,-1,-0.0019531321376294805,-0.03337211018779488,0.0304189780501654,7
2019-12-09,2019-12-10,-1,0.1331948291321524,0.12723016797405295,0.004964661158099432,1
2020-02-26,2020-03-04,1,0.014498122584109874,-0.028795855525776612,-0.04429397810988649,7
2020-08-17,2020-08-25,-1,0.09478398193221924,0.08673310973917757,0.0070508721930416665,8
2020-09-21,2020-10-07,1,0.05010458638431337,0.07027548200847845,0.01917089562416508,16
2020-12-14,2021-01-07,1,0.026750465615125618,0.04634057350532309,0.018590107890197473,24
2021-02-24,2021-03-02,-1,0.0690721992574577,0.056500332015646665,0.011571867241811029,6
2021-06-14,2021-07-02,1,0.012666388810389909,0.011250005717157254,-0.0024163830932326545,18
2022-01-10,2022-02-16,-1,0.04416005160915,0.09689937949657705,-0.05373932788742705,37
2022-04-12,2022-04-14,1,-0.011178210772537556,0.007704434600072668,0.017882645372610223,2
2022-05-04,2022-05-05,1,-0.04406105652314915,-0.03290120136482433,0.010159855158324821,1
2023-11-01,2023-11-07,-1,0.19697882673268413,0.16089820603728677,0.03508062069539736,6
2023-11-30,2023-12-04,1,-0.010519798925618551,-0.009908106295630659,-0.0003883073700121078,4
2024-11-21,2024-12-10,-1,0.1678497804888034,0.19227576441534389,-0.025425983926540496,19
2025-02-06,2025-03-10,-1,0.29112528970928275,0.3929825859413958,-0.10285729623211304,32
2025-11-17,2025-11-26,1,0.09190326913314961,0.11814600680549381,0.025242737672344195,9
